Frame;Bone;X;Y;Z;RotX;RotY;RotZ
6065;両目;0.000000;0.000000;0.000000;-0.012653;0.000000;0.000000
0;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
137;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
145;両目;0.000000;0.000000;0.000000;-0.017365;0.000000;0.000000
160;両目;0.000000;0.000000;0.000000;-0.016187;0.000000;0.000000
180;両目;0.000000;0.000000;0.000000;-0.016580;0.000000;0.000000
200;両目;0.000000;0.000000;0.000000;-0.016580;0.000000;0.000000
225;両目;0.000000;0.000000;0.000000;-0.026177;0.000000;0.000000
230;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
235;両目;0.000000;0.000000;0.000000;-0.020506;0.000000;0.000000
250;両目;0.000000;0.000000;0.000000;-0.018144;0.026173;0.000475
255;両目;0.000000;0.000000;0.000000;-0.047962;0.026147;0.001256
275;両目;0.000000;0.000000;0.000000;-0.047962;0.026147;0.001256
280;両目;0.000000;0.000000;0.000000;-0.034997;-0.043593;-0.001528
290;両目;0.000000;0.000000;0.000000;-0.018508;-0.061038;-0.001132
302;両目;0.000000;0.000000;0.000000;-0.016564;-0.043613;-0.000723
316;両目;0.000000;0.000000;0.000000;-0.017758;0.000000;0.000000
320;両目;0.000000;0.000000;0.000000;-0.047962;0.026147;0.001256
325;両目;0.000000;0.000000;0.000000;-0.016580;0.000000;0.000000
338;両目;0.000000;0.000000;0.000000;-0.012653;0.000000;0.000000
347;両目;0.000000;0.000000;0.000000;-0.020899;0.000000;0.000000
362;両目;0.000000;0.000000;0.000000;-0.016182;-0.026174;-0.000424
366;両目;0.000000;0.000000;0.000000;-0.047889;0.060978;0.002929
371;両目;0.000000;0.000000;0.000000;-0.024387;0.061030;0.001492
390;両目;0.000000;0.000000;0.000000;-0.022035;0.061034;0.001348
401;両目;0.000000;0.000000;0.000000;-0.043578;0.043578;0.001903
412;両目;0.000000;0.000000;0.000000;-0.043578;0.043578;0.001903
416;両目;0.000000;0.000000;0.000000;-0.047932;0.043569;0.002093
420;両目;0.000000;0.000000;0.000000;-0.020487;-0.043610;-0.000894
424;両目;0.000000;0.000000;0.000000;0.043538;-0.060990;0.002663
453;両目;0.000000;0.000000;0.000000;0.026128;-0.061028;0.001598
468;両目;0.000000;0.000000;0.000000;0.000000;-0.043619;0.000000
472;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
479;両目;0.000000;0.000000;0.000000;-0.016539;0.069747;0.001157
505;両目;0.000000;0.000000;0.000000;-0.018525;0.043612;0.000809
517;両目;0.000000;0.000000;0.000000;-0.020487;0.043610;0.000894
530;両目;0.000000;0.000000;0.000000;-0.015765;0.061041;0.000964
536;両目;0.000000;0.000000;0.000000;-0.047889;0.060978;0.002929
541;両目;0.000000;0.000000;0.000000;-0.047889;0.060978;0.002929
545;両目;0.000000;0.000000;0.000000;-0.016549;0.061040;0.001012
563;両目;0.000000;0.000000;0.000000;-0.020499;0.026171;0.000537
568;両目;0.000000;0.000000;0.000000;-0.047932;0.043569;0.002093
573;両目;0.000000;0.000000;0.000000;-0.016549;0.061040;0.001012
592;両目;0.000000;0.000000;0.000000;-0.020487;0.043610;0.000894
598;両目;0.000000;0.000000;0.000000;-0.020107;-0.026172;-0.000527
603;両目;0.000000;0.000000;0.000000;-0.047932;-0.043569;-0.002093
607;両目;0.000000;0.000000;0.000000;-0.014617;0.000000;0.000000
617;両目;0.000000;0.000000;0.000000;-0.022469;0.000000;0.000000
625;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
640;両目;0.000000;0.000000;0.000000;0.017452;0.000000;0.000000
646;両目;0.000000;0.000000;0.000000;-0.047932;0.043569;0.002093
669;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
672;両目;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
676;両目;0.000000;0.000000;0.000000;-0.007854;0.000000;0.000000
690;両目;0.000000;0.000000;0.000000;-0.016574;-0.026173;-0.000434
694;両目;0.000000;0.000000;0.000000;-0.047932;-0.043569;-0.002093
699;両目;0.000000;0.000000;0.000000;-0.016574;-0.026173;-0.000434
707;両目;0.000000;0.000000;0.000000;-0.016574;-0.026173;-0.000434
713;両目;0.000000;0.000000;0.000000;0.000000;-0.026177;0.000000
718;両目;0.000000;0.000000;0.000000;-0.047932;0.043569;0.002093
722;両目;0.000000;0.000000;0.000000;-0.020860;0.061035;0.001276
741;両目;0.000000;0.000000;0.000000;-0.024816;0.026169;0.000650
760;両目;0.000000;0.000000;0.000000;-0.026395;0.000000;0.000000
765;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
769;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
774;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
790;両目;0.000000;0.000000;0.000000;-0.013034;-0.043616;-0.000569
794;両目;0.000000;0.000000;0.000000;-0.047932;-0.043569;-0.002093
798;両目;0.000000;0.000000;0.000000;-0.026370;-0.043604;-0.001151
805;両目;0.000000;0.000000;0.000000;-0.016564;-0.043613;-0.000723
810;両目;0.000000;0.000000;0.000000;-0.047932;-0.043569;-0.002093
817;両目;0.000000;0.000000;0.000000;-0.047932;0.043569;0.002093
822;両目;0.000000;0.000000;0.000000;-0.019281;0.069743;0.001348
842;両目;0.000000;0.000000;0.000000;-0.016549;0.061040;0.001012
846;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
850;両目;0.000000;0.000000;0.000000;-0.017755;-0.017450;-0.000310
864;両目;0.000000;0.000000;0.000000;-0.012653;0.000000;0.000000
884;両目;0.000000;0.000000;0.000000;-0.012653;0.000000;0.000000
888;両目;0.000000;0.000000;0.000000;-0.047889;-0.060978;-0.002929
892;両目;0.000000;0.000000;0.000000;-0.020468;-0.061036;-0.001252
905;両目;0.000000;0.000000;0.000000;-0.024409;-0.043606;-0.001066
910;両目;0.000000;0.000000;0.000000;-0.047962;-0.026147;-0.001256
915;両目;0.000000;0.000000;0.000000;-0.023639;-0.026170;-0.000619
919;両目;0.000000;0.000000;0.000000;-0.020107;-0.026172;-0.000527
928;両目;0.000000;0.000000;0.000000;-0.022462;-0.026170;-0.000588
935;両目;0.000000;0.000000;0.000000;-0.016574;-0.026173;-0.000434
945;両目;0.000000;0.000000;0.000000;-0.024017;0.043607;0.001049
950;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
955;両目;0.000000;0.000000;0.000000;-0.027180;0.000000;0.000000
962;両目;0.000000;0.000000;0.000000;-0.020506;0.000000;0.000000
973;両目;0.000000;0.000000;0.000000;-0.030713;0.000000;0.000000
978;両目;0.000000;0.000000;0.000000;-0.047932;-0.043569;-0.002093
986;両目;0.000000;0.000000;0.000000;-0.029918;-0.026165;-0.000783
990;両目;0.000000;0.000000;0.000000;-0.023647;0.000000;0.000000
1000;両目;0.000000;0.000000;0.000000;-0.018936;0.000000;0.000000
1006;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1010;両目;0.000000;0.000000;0.000000;-0.041309;0.000000;0.000000
1015;両目;0.000000;0.000000;0.000000;-0.016580;0.000000;0.000000
1036;両目;0.000000;0.000000;0.000000;-0.010294;0.026176;0.000270
1040;両目;0.000000;0.000000;0.000000;-0.047932;-0.043569;-0.002093
1045;両目;0.000000;0.000000;0.000000;-0.012649;-0.026175;-0.000331
1060;両目;0.000000;0.000000;0.000000;-0.016967;-0.026173;-0.000444
1064;両目;0.000000;0.000000;0.000000;-0.047962;-0.026147;-0.001256
1079;両目;0.000000;0.000000;0.000000;-0.047889;0.060978;0.002929
1085;両目;0.000000;0.000000;0.000000;-0.024428;-0.017447;-0.000426
1089;両目;0.000000;0.000000;0.000000;-0.012651;-0.017451;-0.000221
1105;両目;0.000000;0.000000;0.000000;-0.016580;0.000000;0.000000
1125;両目;0.000000;0.000000;0.000000;-0.013831;0.000000;0.000000
1130;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1135;両目;0.000000;0.000000;0.000000;-0.028358;0.000000;0.000000
1142;両目;0.000000;0.000000;0.000000;-0.008705;0.069754;0.000609
1151;両目;0.000000;0.000000;0.000000;-0.008705;0.069754;0.000609
1171;両目;0.000000;0.000000;0.000000;-0.020468;0.061036;0.001252
1175;両目;0.000000;0.000000;0.000000;-0.047932;0.043569;0.002093
1180;両目;0.000000;0.000000;0.000000;-0.047932;0.043569;0.002093
1185;両目;0.000000;0.000000;0.000000;-0.018133;0.043612;0.000792
1198;両目;0.000000;0.000000;0.000000;-0.016941;0.061040;0.001036
1204;両目;0.000000;0.000000;0.000000;-0.047889;0.060978;0.002929
1210;両目;0.000000;0.000000;0.000000;-0.016564;0.043613;0.000723
1221;両目;0.000000;0.000000;0.000000;-0.018543;0.000000;0.000000
1230;両目;0.000000;0.000000;0.000000;-0.018543;0.000000;0.000000
1240;両目;0.000000;0.000000;0.000000;-0.014617;0.000000;0.000000
1253;両目;0.000000;0.000000;0.000000;-0.013831;0.000000;0.000000
1270;両目;0.000000;0.000000;0.000000;-0.021291;0.000000;0.000000
1279;両目;0.000000;0.000000;0.000000;-0.018543;0.000000;0.000000
1285;両目;0.000000;0.000000;0.000000;-0.024040;0.000000;0.000000
1293;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1306;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1312;両目;0.000000;0.000000;0.000000;-0.028358;0.000000;0.000000
1318;両目;0.000000;0.000000;0.000000;-0.028358;0.000000;0.000000
1325;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1331;両目;0.000000;0.000000;0.000000;-0.036208;0.000000;0.000000
1335;両目;0.000000;0.000000;0.000000;-0.036208;0.000000;0.000000
1340;両目;0.000000;0.000000;0.000000;-0.036208;0.000000;0.000000
1350;両目;0.000000;0.000000;0.000000;-0.028358;0.000000;0.000000
1363;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1370;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1375;両目;0.000000;0.000000;0.000000;-0.036208;0.000000;0.000000
1380;両目;0.000000;0.000000;0.000000;-0.036208;0.000000;0.000000
1394;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1401;両目;0.000000;0.000000;0.000000;-0.043619;0.000000;0.000000
1410;両目;0.000000;0.000000;0.000000;-0.043619;0.000000;0.000000
1415;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1429;両目;0.000000;0.000000;0.000000;-0.047971;-0.017432;-0.000837
1433;両目;0.000000;0.000000;0.000000;-0.020111;-0.017449;-0.000351
1451;両目;0.000000;0.000000;0.000000;-0.012653;0.000000;0.000000
1460;両目;0.000000;0.000000;0.000000;-0.013046;0.000000;0.000000
1465;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1470;両目;0.000000;0.000000;0.000000;-0.026788;0.000000;0.000000
1475;両目;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
1485;両目;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
1493;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1501;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1511;両目;0.000000;0.000000;0.000000;-0.024432;0.000000;0.000000
1517;両目;0.000000;0.000000;0.000000;-0.024432;0.000000;0.000000
1522;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1532;両目;0.000000;0.000000;0.000000;-0.016941;-0.061040;-0.001036
1547;両目;0.000000;0.000000;0.000000;-0.020456;-0.069742;-0.001430
1557;両目;0.000000;0.000000;0.000000;0.000000;-0.043619;0.000000
1561;両目;0.000000;0.000000;0.000000;0.000000;-0.069756;0.000000
1566;両目;0.000000;0.000000;0.000000;-0.016539;-0.069747;-0.001157
1575;両目;0.000000;0.000000;0.000000;-0.012622;-0.069751;-0.000883
1580;両目;0.000000;0.000000;0.000000;-0.047932;0.043569;0.002093
1589;両目;0.000000;0.000000;0.000000;-0.047932;0.043569;0.002093
1594;両目;0.000000;0.000000;0.000000;-0.016580;0.000000;0.000000
1604;両目;0.000000;0.000000;0.000000;-0.012630;-0.061044;-0.000772
1609;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1619;両目;0.000000;0.000000;0.000000;-0.047932;0.043569;0.002093
1625;両目;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
1645;両目;0.000000;0.000000;0.000000;0.026177;0.000000;0.000000
1649;両目;0.000000;0.000000;0.000000;-0.047889;-0.060978;-0.002929
1654;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1661;両目;0.000000;0.000000;0.000000;-0.016539;-0.069747;-0.001157
1673;両目;0.000000;0.000000;0.000000;-0.021663;-0.043609;-0.000946
1681;両目;0.000000;0.000000;0.000000;-0.024764;0.069735;0.001732
1688;両目;0.000000;0.000000;0.000000;-0.018106;0.069745;0.001266
1696;両目;0.000000;0.000000;0.000000;-0.012622;0.069751;0.000883
1700;両目;0.000000;0.000000;0.000000;-0.025562;0.061029;0.001563
1703;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1707;両目;0.000000;0.000000;0.000000;-0.021663;-0.043609;-0.000946
1715;両目;0.000000;0.000000;0.000000;-0.016172;-0.043614;-0.000706
1721;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1735;両目;0.000000;0.000000;0.000000;-0.047962;0.026147;0.001256
1740;両目;0.000000;0.000000;0.000000;-0.012653;0.000000;0.000000
1750;両目;0.000000;0.000000;0.000000;-0.020506;0.000000;0.000000
1755;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1761;両目;0.000000;0.000000;0.000000;-0.018543;0.000000;0.000000
1769;両目;0.000000;0.000000;0.000000;-0.012641;0.043616;0.000552
1776;両目;0.000000;0.000000;0.000000;-0.022462;-0.026170;-0.000588
1780;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1788;両目;0.000000;0.000000;0.000000;-0.011079;0.026175;0.000290
1797;両目;0.000000;0.000000;0.000000;-0.019310;0.043611;0.000843
1807;両目;0.000000;0.000000;0.000000;-0.012653;0.000000;0.000000
1820;両目;0.000000;0.000000;0.000000;-0.012653;0.000000;0.000000
1841;両目;0.000000;0.000000;0.000000;-0.011475;0.000000;0.000000
1845;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1850;両目;0.000000;0.000000;0.000000;-0.043619;0.000000;0.000000
1856;両目;0.000000;0.000000;0.000000;-0.043619;0.000000;0.000000
1860;両目;0.000000;0.000000;0.000000;-0.047978;0.000000;0.000000
1865;両目;0.000000;0.000000;0.000000;-0.012653;0.000000;0.000000
